time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.2079857196853442e-07,-1.0180405871866802e-07,10.005764608094493,6.282998278685739,0.0001180664132274245,0.0,-1.1160617753650361e-05,-1.320189287211687e-05,0.1921401222303721,-0.010222737961394994,0.005638661436930676,0.0,464.4755409654891,464.9174270031659,466.13826811884,465.33892456794774
0.12000000000000001,-5.1989813973864815e-06,-7.465696968381295e-06,10.021816397383379,6.282486091512656,0.0007936419453882237,0.0,-0.0002156803219398821,-0.00029367490644655546,0.3428855967180022,-0.005360814499319876,0.020628884471435398,0.0,452.51584257773067,453.72060964676814,452.2270057970103,452.6185147000075
0.18,-4.23613272006973e-05,-4.294517403401542e-05,10.048213466727292,6.282111768252388,0.002216268451358694,0.0,-0.0011779279937892094,-0.0009291942852965403,0.5369449177043871,-0.008055098554298274,0.029253092084870858,0.0,465.18040492775714,465.85517469944745,466.4689919734768,466.25868553928893
0.23999999999999996,-0.00016231511433035102,-0.00012090246503880484,10.082160011770632,6.281960589742766,0.0035808905736924856,0.0,-0.00297460280060015,-0.0016979766270603326,0.5945774972953042,0.006730151122782634,0.004704659597158066,0.0,424.0916855770896,421.97825223787333,423.44343640346113,424.7132901656876
0.3,-0.00041952052694747637,-0.00024753504024419145,10.12162657425532,6.282095640337481,0.004459881633226637,0.0,-0.005665538755512515,-0.0024923932301723984,0.7209026772667135,-0.008689963934336683,0.02944085836425831,0.0,444.6562992687542,446.67775654961764,446.08505269556747,444.8242430328344
0.36000000000000004,-0.0008780593603839557,-0.0004248240573356799,10.172008440491222,6.282511835611102,0.005873280142095538,0.0,-0.009817525620065817,-0.003410244937071878,0.9583231290797485,0.027360407041443997,0.007935740948617799,0.0,479.6826568473048,478.04703163432123,477.93037905951826,480.6698025806237
0.4200000000000001,-0.0015884500415463646,-0.0006370197851914032,10.232153501629725,0.0006841945651805403,0.0058385190956080635,0.0,-0.013895199608348712,-0.0035103296370304284,1.0464351664264249,0.010907937163081725,-0.02894540414833722,0.0,435.1357115323455,432.03761991195034,435.21407274614324,433.83505662672155
0.48000000000000015,-0.0025422270958804167,-0.0008300614945318226,10.299059802351447,0.0013845266153174052,0.00393832748584888,0.0,-0.017701860351708572,-0.0028516294228571873,1.1836435368204707,0.013158503247008364,-0.037766006888688156,0.0,450.1409614868767,449.4263256073879,449.4489453560332,449.6311654805187
0.5400000000000001,-0.0036656184904171455,-0.000974064470651277,10.369767052869202,0.0026951417472300676,0.001938935292638888,0.0,-0.01956293453896502,-0.0018550369783197182,1.1732760401053535,0.035173498726838594,-0.025660518613870822,0.0,401.14318951579764,402.2402387544445,400.9171679004226,402.9123241233558
0.6000000000000002,-0.004877337669597922,-0.0010145187767207258,10.445498278380951,0.004605905801952304,0.00014998921903774942,0.0,-0.020640424331225413,0.0007352822840914304,1.3509046499278492,0.024186642284358253,-0.039787772636052356,0.0,462.90989373124114,461.7967147342645,462.5666730975086,461.70107206079524
0.6600000000000003,-0.006110633026284241,-0.0008857869634424858,10.526260538836276,0.005990443659720235,6.280763851639321,0.0,-0.020257530542842645,0.003677517901735353,1.3411815130631741,0.02075579113608977,-0.04983610039761319,0.0,402.31503126854676,401.40301926166296,403.2149041431315,402.9049716779646
0.7200000000000003,-0.00726159138066784,-0.0005293385242188897,10.61091431809212,0.00711655063458938,6.278155591931213,0.0,-0.017809017092581567,0.008331220431060942,1.4804392811288998,0.014464205944393876,-0.03308302701499945,0.0,450.6320945150662,451.9830638590664,450.876209816014,450.36761283187894
0.7800000000000004,-0.008217582636837063,0.00012211142211538754,10.702923902860968,0.007787636837381484,6.275998119934474,0.0,-0.013845783759208757,0.013462908140049098,1.5864038617850256,0.003651676633981599,-0.04243492247967734,0.0,441.07582975309555,440.3022722878598,441.6823290766848,440.7896522893289
0.8400000000000004,-0.008877548447298562,0.0011043377664832772,10.802740246155679,0.007659750421638911,6.273184948307453,0.0,-0.007862136414450955,0.01928529002106716,1.7405831932219735,-0.017387009807903458,-0.05773653485676261,0.0,456.68049291845006,455.45711478152333,457.2084613475125,455.5293620617236
0.9000000000000005,-0.009136723194160794,0.0024112955151180163,10.909483831888357,0.00722188578077354,6.269484785354475,0.0,-0.0004266515474272998,0.024211183457055897,1.8174137454735104,0.007655072552077931,-0.07099611983069928,0.0,433.57848465878396,432.46022048534417,430.91697903112987,433.0286122455066
0.9600000000000005,-0.008857408354813991,0.004017971533960851,11.021911241963508,0.007934395443572662,6.265144313143001,0.0,0.010180914337251143,0.02940527314263853,1.9299759602419957,0.01920381635852284,-0.0751753814927653,0.0,443.3091884427352,442.961595301715,444.612620864849,445.5576200227822
1.0200000000000005,-0.007856793961646026,0.00595096979268805,11.140761853487998,0.00875436187118428,6.261472101295755,0.0,0.023578633255612453,0.03513067267334149,2.031526968112763,-0.0007155594817831665,-0.04228511511759696,0.0,439.56530977471164,442.279235931495,442.0274678488034,440.3828939972168
1.0800000000000005,-0.005992520936533643,0.008236634908194535,11.265301095931989,0.008944413668158901,6.259651805341882,0.0,0.03877172700972043,0.04106501099386336,2.1196164604604277,0.009980751520984387,-0.013400899037436484,0.0,435.0783130466323,437.4893330647312,437.65678430085086,438.54605546157984
